RUTA,DENOMINACION_RUTA,RECURSO_NOMBRE,RECURSO_LONGITUD,RECURSO_LATITUD
Ruta 01,Itinerario de recursos turísticos-costeros del Algarve,Puerto pesquero de Vila Real de Santo Antonio,-7.416167,37.201917
Ruta 01,Itinerario de recursos turísticos-costeros del Algarve,Lota de Vila Real de Santo Antonio,-7.416178,37.201981
Ruta 01,Itinerario de recursos turísticos-costeros del Algarve,Mercado municipal de Vila Real de Santo Antonio,-7.416417,37.194417
Ruta 01,Itinerario de recursos turísticos-costeros del Algarve,Farol de Vila Real de Santo Antonio,-7.416500,37.187278
Ruta 01,Itinerario de recursos turísticos-costeros del Algarve,Ribeirinha de Vila Real de Santo Antonio,-7.414333,37.198639
Ruta 01,Itinerario de recursos turísticos-costeros del Algarve,Salinas de Castro Marim,-7.427528,37.208250
Ruta 01,Itinerario de recursos turísticos-costeros del Algarve,Barrio de pescadores de Monte Gordo,-7.454389,37.177417
Ruta 01,Itinerario de recursos turísticos-costeros del Algarve,Castelo de Castro Marim,-7.441944,37.218611
Ruta 02,Itinerario de recursos turísticos-costeros de Ayamonte,Salinas del Duque,-7.346278,37.190833
Ruta 02,Itinerario de recursos turísticos-costeros de Ayamonte,Puerto de Ayamonte,-7.410028,37.214944
Ruta 02,Itinerario de recursos turísticos-costeros de Ayamonte,Lonja de Ayamonte,-7.410028,37.214944
Ruta 02,Itinerario de recursos turísticos-costeros de Ayamonte,Mercado de abastos de Ayamonte,-7.408704,37.212120
Ruta 02,Itinerario de recursos turísticos-costeros de Ayamonte,Barriada de Canela y Campo de Canela,-7.403361,37.200167
Ruta 02,Itinerario de recursos turísticos-costeros de Ayamonte,Ecomuseo Molino del Pintado,-7.390171,37.211637
Ruta 02,Itinerario de recursos turísticos-costeros de Ayamonte,Punta del Moral,-7.341861,37.188056
Ruta 02,Itinerario de recursos turísticos-costeros de Ayamonte,Estero de la Mojarra,-7.341216,37.186866
Ruta 02,Itinerario de recursos turísticos-costeros de Ayamonte,Ermita Nuestra Señora del Carmen y romerias marineras,-7.403806,37.197556
Ruta 02,Itinerario de recursos turísticos-costeros de Ayamonte,Torre Canela,-7.380306,37.189083
Ruta 02,Itinerario de recursos turísticos-costeros de Ayamonte,Baluarte de las Angustias,-7.409500,37.213333
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Sendero de Frieiras,-8.19216,42.15399
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Sendero Río Mourentão-Playa fluvial de Río Minho,-8.27731,42.11745
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,As Pesqueiras de Prado,-8.278806,42.120444
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Sendero rio Minho-Deva,-8.296242,42.110364
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Playa fluvial rio Minho,-8.29793,42.10747
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Caleira de Gulans. Forno de Cal,-8.40849,42.07893
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Sendero entre garitas,-8.41366,42.07712
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Sendero Vogal-Playa fluvial de Río Minho,-8.46349,42.08216
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Parque da Canuda,-8.50556,42.07922
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Playa fluvial y merendero de Fiestras,-8.56332,42.05199
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Observatorio da Insua do Conguedo,-8.59722,42.05444
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Parque de Ocio Pesqueira dos Frades,-8.61558,42.05134
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Playa fluvial,-8.62046,42.05391
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Puente internacional de Tui,-8.646944,42.036389
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Fortaleça de Valença,-8.64567,42.02724
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Aquamuseu do Rio Minho,-8.7493277777778,41.937997222222
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Conjunto de islas en la desembocadora del Minho,-8.835429199135243,41.90569006436099
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Estuario del Rio Minho,-8.865224915950124,41.87235977895401
Ruta 03,Itinerario de recursos turísticos-costeros del Minho,Forte da Insua,-8.874722,41.859167
